spotify_id,name,artists,artists_ids,song_genre,daily_rank,daily_movement,weekly_movement,country,snapshot_date,popularity,is_explicit,duration_ms,album_name,album_release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
6tNQ70jh4OwmPGpYy6R2o9,Beautiful Things,Benson Boone,22wbnEMDvgVIAGdFeek6ET,pop,1,0,0,,2024-03-02,100,False,180304,Beautiful Things,2024-01-18,0.472,0.471,10,-5.692,1,0.0603,0.151,0.0,0.14,0.219,105.029,3
3w0w2T288dec0mgeZZqoNN,CARNIVAL,¥$,4xPQFgDA5M2xa0ZGo5iIsv,other,2,0,1,,2024-03-02,94,True,264324,VULTURES 1,2024-02-09,0.594,0.811,1,-5.746,1,0.159,0.189,0.0,0.339,0.311,148.144,4
7AYmToZ5y67fBjq4RLFbuq,TEXAS HOLD 'EM,Beyoncé,6vWDO969PvNqNYHIOW5v0m,other,3,0,-1,,2024-03-02,86,True,235636,TEXAS HOLD 'EM,2024-02-10,0.725,0.709,2,-6.514,1,0.072,0.588,0.0,0.135,0.353,110.024,4
3qhlB30KknSejmIvZZLjOD,End of Beginning,Djo,5p9HO3XC5P3BLxJs5Mtrhm,pop,4,3,14,,2024-03-02,91,False,159245,DECIDE,2022-09-16,0.689,0.454,2,-7.643,1,0.0584,0.0351,0.00259,0.0707,0.912,159.982,4
3rUGC1vUpkDG9CZFHMur1t,greedy,Tate McRae,45dkTj5sMRSjrmBSBeiHym,pop,5,-1,-1,,2024-03-02,99,True,131872,greedy,2023-09-15,0.75,0.733,6,-3.18,0,0.0319,0.256,0.0,0.114,0.844,111.018,1
1BxfuPKGuaTgP7aM0Bbdwr,Cruel Summer,Taylor Swift,06HL4z0CvFAxyc27GXpf02,pop,6,-1,-1,,2024-03-02,99,False,178426,Lover,2019-08-23,0.552,0.702,9,-5.707,1,0.157,0.117,2.06e-05,0.105,0.564,169.994,4
17phhZDn6oGtzMe56NuWvj,Lose Control,Teddy Swims,33qOK5uJ8AR2xuQQAhHump,other,7,-1,1,,2024-03-02,94,False,210688,I've Tried Everything But Therapy (Part 1),2023-09-15,0.561,0.604,9,-4.409,1,0.0337,0.199,1.9e-05,0.104,0.242,159.92,3
1VNWdmXSbaNrnWod10WIL0,"One Of The Girls (with JENNIE, Lily Rose Depp)",The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,hip-hop,8,0,-1,,2024-03-02,85,False,244684,The Highlights (Deluxe),2024-02-09,0.531,0.652,8,-6.249,1,0.0325,0.0524,1.39e-06,0.162,0.179,87.521,4
52eIcoLUM25zbQupAZYoFh,redrum,21 Savage,1URnnhqYAYcrqrcwql10ft,hip-hop,9,3,4,,2024-03-02,97,True,270697,american dream,2024-01-12,0.624,0.74,2,-8.445,1,0.0481,0.00529,0.000224,0.5,0.246,172.089,4
0R6NfOiLzLj4O5VbYSJAjf,La Diabla,Xavi,3Me35AWHCGqW4sZ7bWWJt1,other,10,-1,-4,,2024-03-02,99,False,172264,La Diabla,2023-11-30,0.751,0.819,11,-4.372,0,0.0409,0.255,0.0,0.236,0.697,131.842,3
0mflMxspEfB0VbI1kyLiAv,Stick Season,Noah Kahan,2RQXRUsr4IW1f3mKyKsy4B,pop,11,-1,-1,,2024-03-02,98,False,182346,Stick Season,2022-10-14,0.662,0.488,9,-6.894,1,0.0682,0.782,0.0,0.102,0.817,117.913,4
3vkCueOmm7xQDoJ17W1Pm3,My Love Mine All Mine,Mitski,2uYWxilOVlUdk4oV9DvwqK,pop,12,-1,-3,,2024-03-02,98,False,137773,The Land Is Inhospitable and So Are We,2023-09-15,0.504,0.308,9,-14.958,1,0.0321,0.868,0.135,0.158,0.121,113.95,4
