spotify_id,name,artists,artists_ids,daily_rank,daily_movement,weekly_movement,country,snapshot_date,popularity,is_explicit,duration_ms,album_name,album_release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
7Cjsw965r7mVK888ZqP6Wo,Mình Anh Thôi,Negav,4fg8aMZ23d2bxKz7r2vt9v,45,1,-7,VN,2024-11-01,63,False,212519,Mình Anh Thôi,2024-09-04,0.703,0.537,10,-6.647,0,0.0365,0.312,0.0,0.101,0.468,131.063,4
226ljdOTLM2clGpm4mZvAm,Love is,Dangrangto,5xY6E5PMZNtz9jDvxTRiGI,46,4,4,VN,2024-11-01,51,False,266758,Love is,2023-06-27,0.69,0.291,4,-16.499,1,0.0515,0.207,1.06e-06,0.205,0.584,139.126,4
2uZmeuNAxSm7XfVIwLkhCx,nhắn nhủ,Ronboogz,0dBcEvEklr1jx4uZuhFX5e,47,-3,-2,VN,2024-11-01,62,False,241190,nhắn nhủ,2023-12-12,0.762,0.295,7,-9.745,1,0.035,0.954,0.00157,0.164,0.284,129.962,4
4exlWP8cokkWVCvyP3kg7c,nếu lúc đó,tlinh,3diftVOq7aEIebXKkC34oR,48,0,-2,VN,2024-11-01,60,False,263752,ái,2023-08-16,0.627,0.591,4,-7.908,1,0.0316,0.344,0.000134,0.159,0.358,140.018,4
4WZf4gJ2MvBec6XPdUiqcq,"ANH BIẾT RỒI (feat. Rhyder, Jmi Ko)","ANH TRAI ""SAY HI""",4wZ6awunqaaVLl5j0WpDFu,49,1,-7,VN,2024-11-01,57,False,259614,"ANH TRAI ""SAY HI"", Chung Kết 1",2024-08-31,0.64,0.612,11,-7.6,1,0.0579,0.213,1.21e-05,0.0771,0.224,89.962,4
1J12HjUuXfJnaUdubTEzSR,Nghe Như Tình Yêu,HIEUTHUHAI,5HZtdKfC4xU0wvhEyYDWiY,50,-3,0,VN,2024-11-01,62,False,193049,Nghe Như Tình Yêu,2021-07-09,0.686,0.6,5,-7.399,0,0.0463,0.0186,9.09e-05,0.141,0.28,100.008,4
2HRgqmZQC0MC7GeNuDIXHN,Seven (feat. Latto) (Explicit Ver.),Jung Kook,6HaGTQPmzraVmaVxvz6EUc,1,49,49,VN,2024-10-31,85,True,183550,GOLDEN,2023-11-03,0.79,0.831,11,-4.185,1,0.044,0.312,0.0,0.0797,0.872,124.987,4
7tI8dRuH2Yc6RuoTjxo4dU,Who,Jimin,1oSPZhvZMIrWW5I41kPkkY,2,48,48,VN,2024-10-31,92,False,170887,MUSE,2024-07-19,0.66,0.756,0,-3.743,0,0.032,0.00289,0.0,0.193,0.838,116.034,4
2KslE17cAJNHTsI2MI0jb2,Standing Next to You,Jung Kook,6HaGTQPmzraVmaVxvz6EUc,3,47,47,VN,2024-10-31,89,False,206019,GOLDEN,2023-11-03,0.711,0.809,2,-4.389,0,0.0955,0.0447,0.0,0.339,0.816,106.017,4
5vNRhkKd0yEAg8suGBpjeY,APT.,ROSÉ,3eVa5w3URK5duf6eyVDbu9,4,46,46,VN,2024-10-31,95,False,169917,APT.,2024-10-18,0.777,0.783,0,-4.477,0,0.26,0.0283,0.0,0.355,0.939,149.027,4
41DlPJXKTCypXdf2eSqa03,Bình Yên,Vũ.,57g2v7gJZepcwsuwssIfZs,5,45,45,VN,2024-10-31,65,False,195974,Bảo Tàng Của Nuối Tiếc,2024-09-27,0.677,0.526,1,-8.375,1,0.0435,0.787,1.92e-05,0.0855,0.217,121.969,4
3COYA2vgfcUhDyRlVpZy5p,PHÓNG ZÌN ZÌN,tlinh,3diftVOq7aEIebXKkC34oR,6,44,44,VN,2024-10-31,69,False,202999,FLVR,2024-09-18,0.717,0.693,5,-6.808,0,0.0646,0.185,0.00171,0.164,0.445,101.996,4
7fCeYpR02Q8JVuD88hJZVT,Bầu Trời Mới,Da LAB,6zUWZmyi5MLOEynQ5wCI5f,7,43,43,VN,2024-10-31,61,False,262495,M∞N,2024-10-05,0.464,0.709,5,-5.431,1,0.0545,0.511,0.0,0.111,0.275,180.047,4
