spotify_id,name,artists,artists_ids,daily_rank,daily_movement,weekly_movement,country,snapshot_date,popularity,is_explicit,duration_ms,album_name,album_release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
1pymWRCuZfCd0zdiBJo0Hj,REAL GANGSTA LOVE,Trueno,2x7PC78TmgqpEIjaGAZ0Oz,18,2,7,,2024-07-21,92,True,145342,EL ÚLTIMO BAILE,2024-05-23,0.831,0.643,4,-4.659,0,0.0568,0.388,6.94e-05,0.374,0.57,97.013,4
4Dvkj6JhhA12EX05fT7y2e,As It Was,Harry Styles,6KImCVD70vtIoJWnq6nGn3,19,0,14,,2024-07-21,92,False,167303,Harry's House,2022-05-20,0.52,0.731,6,-5.338,0,0.0557,0.342,0.00101,0.311,0.662,173.93,4
3JG1uFc40wfyrqaWC7iv0e,i like the way you kiss me,Artemas,0PCCGZ0wGLizHt2KZ7hhA2,20,2,0,,2024-07-21,72,False,142514,yustyna,2024-07-11,0.599,0.946,11,-4.263,1,0.0447,0.000938,0.0106,0.0826,0.747,151.647,4
1BxfuPKGuaTgP7aM0Bbdwr,Cruel Summer,Taylor Swift,06HL4z0CvFAxyc27GXpf02,21,0,9,,2024-07-21,93,False,178426,Lover,2019-08-23,0.552,0.702,9,-5.707,1,0.157,0.117,2.06e-05,0.105,0.564,169.994,4
1BJJbSX6muJVF2AK7uH1x4,Move,"Adam Port, Stryv, Keinemusik, Orso, Malachiii","2loEsOijJ6XiGzWYFXMIRk, 6XjgqvaVLUib6lCerbZrYD, 26WKgv73kRHD0gEDKD1i8j, 2yyaNPcdxZcn4iutCcLMaC, 37lTKHi901VnwngQ7C8noT",22,7,24,,2024-07-21,88,False,177598,Move,2024-06-07,0.727,0.782,8,-8.529,0,0.042,0.0563,0.336,0.225,0.655,119.992,4
2uqYupMHANxnwgeiXTZXzd,Austin (Boots Stop Workin'),Dasha,7Ez6lTtSMjMf2YSYpukP1I,23,3,13,,2024-07-21,91,True,171782,What Happens Now?,2024-02-16,0.756,0.672,0,-6.743,1,0.0522,0.464,3.37e-06,0.108,0.739,114.935,4
3qhlB30KknSejmIvZZLjOD,End of Beginning,Djo,5p9HO3XC5P3BLxJs5Mtrhm,24,-1,4,,2024-07-21,93,False,159245,DECIDE,2022-09-16,0.689,0.454,2,-7.643,1,0.0584,0.0351,0.00259,0.0707,0.912,159.982,4
51ZQ1vr10ffzbwIjDCwqm4,we can't be friends (wait for your love),Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,25,-1,7,,2024-07-21,90,False,228639,eternal sunshine,2024-03-08,0.645,0.646,5,-8.334,1,0.0427,0.0615,3.04e-05,0.074,0.295,115.842,4
5uQ7de4EWjb3rkcFxyEOpu,Belong Together,Mark Ambor,11p2E654TTU8e0nZWBR4AL,26,4,17,,2024-07-21,92,False,148317,Belong Together,2024-02-16,0.646,0.668,2,-5.203,1,0.0282,0.491,0.0,0.212,0.64,90.969,4
629DixmZGHc7ILtEntuiWE,LUNCH,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,27,1,0,,2024-07-21,94,False,179586,HIT ME HARD AND SOFT,2024-05-17,0.893,0.4,11,-7.981,0,0.0643,0.0452,0.0823,0.0632,0.945,124.987,4
7CyPwkp0oE8Ro9Dd5CUDjW,"One Of The Girls (with JENNIE, Lily Rose Depp)","The Weeknd, JENNIE, Lily-Rose Depp","1Xyo4u8uXC1ZmMpatF05PJ, 250b0Wlc5Vk0CoUsaCY84M, 1pBLC0qVRTB5zVMuteQ9jJ",28,-1,10,,2024-07-21,92,False,244684,The Idol Episode 4 (Music from the HBO Original Series),2023-06-23,0.264,0.64,8,-6.221,1,0.0442,0.0393,2.31e-06,0.151,0.19,84.828,4
3hRV0jL3vUpRrcy398teAU,The Night We Met,Lord Huron,6ltzsmQQbmdoHHbLZ4ZN25,29,2,10,,2024-07-21,89,False,208211,Strange Trails,2015-04-06,0.448,0.369,9,-9.514,1,0.0452,0.968,0.272,0.638,0.0998,174.097,3
6vvPecFTmWxDfEJ6cYT1wa,Rockstar,LISA,5L1lO4eRHmJ7a0Q6csE5cT,30,3,1,,2024-07-21,92,True,138213,Rockstar,2024-06-27,0.668,0.628,8,-4.692,1,0.046,0.129,0.0,0.0293,0.568,140.053,4
7bywjHOc0wSjGGbj04XbVi,LUNA,"Feid, ATL Jacob","2LRoIwlKmHjgvigdNGBHNo, 7jAs1uPnpfNmT6e5qtEPxq",31,3,13,,2024-07-21,91,False,196800,FERXXOCALIPSIS,2023-12-01,0.774,0.86,7,-2.888,0,0.13,0.131,0.0,0.116,0.446,100.019,4
1agDCV4zQqaFwJQNsTgmL1,Smeraldo Garden Marching Band (feat. Loco),"Jimin, Loco","1oSPZhvZMIrWW5I41kPkkY, 2e4G04F77jxVuDYo44TCSm",32,-15,18,,2024-07-21,68,False,182840,MUSE,2024-07-19,0.79,0.915,4,-2.251,1,0.146,0.0366,0.0,0.0785,0.726,97.47,4
