id,name,genre,popularity,pop,rock,jazz,classical,blues,hip-hop,reggae,electronic,acoustic,other
1Mxqyy3pSjf8kZZL4QVxS0,Frank Sinatra,"adult-standards,easy-listening,lounge",80,0,0,0,0,0,0,0,0,0,1
1QsdzIKkTT5gDFj8GB1cIX,Yseult,"french-pop,r&b-francais",74,1,0,0,0,0,0,0,0,0,0
1RyvyyTE3xzB2ZywiAwp0i,Future,"atl-hip-hop,hip-hop,rap,southern-hip-hop,trap",93,0,0,0,0,0,1,0,0,0,0
1SIocsqdEefUTE6XKGUiVS,BABYMONSTER,5th-gen-k-pop,77,1,0,0,0,0,0,0,0,0,0
1TA5sGRlKUJXBN4ZyJuDIX,Blessd,"reggaeton,urbano-latino",82,0,0,0,0,0,0,1,0,0,0
1TtXnWcUs0FCkaZDPGYHdf,Darell,"latin-hip-hop,reggaeton,trap-latino,urbano-latino",78,0,0,0,0,0,1,1,0,0,0
1U1el3k54VvEUzo3ybLPlM,Kali Uchis,colombian-pop,86,1,0,0,0,0,0,0,0,0,0
1URnnhqYAYcrqrcwql10ft,21 Savage,"atl-hip-hop,hip-hop,rap",89,0,0,0,0,0,1,0,0,0,0
1UTPBmNbXNTittyMJrNkvw,Blake Shelton,"classic-oklahoma-country,contemporary-country,country,country-road",73,0,0,0,0,0,0,0,0,1,0
1WaFQSHVGZQJTbf0BdxdNo,Tommy Richman,chill-abstract-hip-hop,79,0,0,0,0,0,1,0,0,0,0
1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,"canadian-contemporary-r&b,canadian-pop,pop",96,1,0,0,0,0,0,0,0,0,0
1Yj5Xey7kTwvZla8sqdsdE,Cris Mj,"mambo-chileno,trap-latino,urbano-chileno,urbano-latino",88,0,0,0,0,0,1,1,0,0,0
1bfl0AU8SqmLkElptOprhC,Julión Álvarez y su Norteño Banda,"banda,musica-mexicana,norteno,sad-sierreno",85,0,0,0,0,0,0,0,0,0,1
1c3uso4iIeeX3P0bhKaQDq,Jaxomy,,67,0,0,0,0,0,0,0,0,0,1
1dKdetem2xEmjgvyymzytS,Grupo Firme,"banda,musica-mexicana,norteno,sierreno",81,0,0,0,0,0,0,0,0,0,1
1dfeR4HaWDbWqFHLkxsg1d,Queen,"classic-rock,glam-rock,rock",86,0,1,0,0,0,0,0,0,0,0
1eIYP01ZLPKEExhcV6xFgt,Grelo,,72,0,0,0,0,0,0,0,0,0,1
1fctva4kpRbg2k3v7kwRuS,Rvssian,"reggaeton,reggaeton-flow,trap-latino,urbano-latino",75,0,0,0,0,0,1,1,0,0,0
1gW6pz5n1aK249L0GvfQCC,Grupo Marca Registrada,"corrido,norteno,sad-sierreno",80,0,0,0,0,0,0,0,0,0,1
1iCnM8foFssWlPRLfAbIwo,Gigi Perez,bedroom-pop,80,1,0,0,0,0,0,0,0,0,0
1mcTU81TzQhprhouKaTkpq,Rauw Alejandro,"puerto-rican-pop,reggaeton,trap-latino,urbano-latino",90,1,0,0,0,0,1,1,0,0,0
1moxjboGR7GNWYIMWsRjgG,Florence + The Machine,"baroque-pop,modern-rock,neo-mellow,uk-alternative-pop",79,1,1,0,0,0,0,0,0,0,0
1mpOD8ZwHnbsryIuXWq0R1,Zeynep Bastık,turkish-pop,64,1,0,0,0,0,0,0,0,0,0
1ncWEkB4AQh1rxC8ObpBoH,Baby Lasagna,,52,0,0,0,0,0,0,0,0,0,1
1oSPZhvZMIrWW5I41kPkkY,Jimin,k-pop,88,1,0,0,0,0,0,0,0,0,0
1pBLC0qVRTB5zVMuteQ9jJ,Lily-Rose Depp,pop,77,1,0,0,0,0,0,0,0,0,0
1pPmIToKXyGdsCF6LmqLmI,Rich The Kid,"atl-hip-hop,melodic-rap,plugg,rap,trap",69,0,0,0,0,0,1,0,0,0,1
1pi7nGhOM7PTHR5YEgXVGq,Villano Antillano,"rap-boricua,urbano-latino",67,0,0,0,0,0,1,1,0,0,0
1r4hJ1h58CWwUQe3MxPuau,Maluma,"latin-pop,reggaeton,reggaeton-colombiano,trap-latino,urbano-latino",86,1,0,0,0,0,1,1,0,0,0
1tuNNda2SSH3o4lUms5K6C,Sebastian Esquivel,corrido,62,0,0,0,0,0,0,0,0,0,1
1uNFoZAHBGtllmzznpCI3s,Justin Bieber,"canadian-pop,pop",91,1,0,0,0,0,0,0,0,0,0
1vaQ6v3pOFxAIrFoPrAcom,Ari Lennox,alternative-r&b,62,0,0,0,0,0,0,0,0,0,1
1yxSLGMDHlW21z4YXirZDS,Black Eyed Peas,"dance-pop,pop,pop-rap",81,1,0,0,0,0,0,0,0,0,0
20wkVLutqVOYrc0kxFs7rA,Daniel Caesar,canadian-contemporary-r&b,87,0,0,0,0,0,0,0,0,0,1
