id,name,genre,popularity
4jIoCS5bJr2TQ2SIbSPnwR,16 BrT,vietnamese-hip-hop,38
4mr4X9nJC8DPlNukWbgAaI,HYBS,,68
4sGeCkzfqINvHaWFfeoQJp,Thanh Duy,v-pop,51
4wVcCedmr7FHtUlFnIeJIG,Youjeen,,57
4wZ6awunqaaVLl5j0WpDFu,"ANH TRAI ""SAY HI""",,72
4zbdqgzf7uo0HYPzHXSWSN,Tezzy,viet-edm,44
50bDh0lNWnngFN237F1rJq,Linh Thộn,"v-pop,vietnamese-hip-hop",46
53JNigMoziak3PfjdVcNLh,Machiot,v-pop,45
540vIaP2JwjQb9dm3aArA4,DJ Snake,"dance-pop,edm,electronic-trap,pop,pop-dance",79
54gIDmy6EgICaX1Uiez1iC,DMT,,37
56YvnYcOAPPIuSwoZ6uoBP,DT Tập Rap,"v-pop,viet-remix",47
57g2v7gJZepcwsuwssIfZs,Vũ.,"indie-viet,rock-viet,v-pop,vietnamese-singer-songwriter",67
5CmaKrKVwzQ6iQnJx2cGAm,Vũ Thịnh,v-pop,52
5FWPIKz9czXWaiNtw45KQs,Đức Phúc,v-pop,59
5H4yInM5zmHqpKIoMNAx4r,Central Cee,"melodic-drill,r&drill",82
5HZtdKfC4xU0wvhEyYDWiY,HIEUTHUHAI,"v-pop,vietnamese-hip-hop",70
5Kh0ta0UY4uJ4g2CIdq9V9,Phương Ly,v-pop,57
5L1lO4eRHmJ7a0Q6csE5cT,LISA,k-pop,84
5M3ffmRiOX9Q8Y4jNeR5wu,Wren Evans,"v-pop,vietnamese-hip-hop,vietnamese-melodic-rap",60
5Nilp5UbtfomufnBtJkjpL,Duy Khánh 周周,,49
5RmQ8k4l3HZ8JoPb4mNsML,Agust D,k-rap,77
5U1dINFKjJlYNOSdMrHlRh,16 Typh,"v-pop,vietnamese-hip-hop",42
5WUlDfRSoLAfcVSX1WnrxN,Sia,pop,85
5Xn0cJrrcslCWCzPXNTy54,PiaLinh,v-pop,51
5dfZ5uSmzR7VQK0udbAVpf,Sơn Tùng M-TP,"v-pop,vietnamese-idol-pop,vietnamese-melodic-rap",64
5fa13NJjmn2uQ3dxZDi2Ge,Bích Phương,v-pop,49
5jTFNkoZebPnX90CbB3F2A,MONO,v-pop,54
5lAfakPZgxFKgiJD6xAF1G,Orange,v-pop,59
5mPbBOU2KMFfStepNZ027p,OgeNus,,51
5pyjjs1k7keBTqwhkVs7MA,Trần Đăng Dương,,52
5ulyphh5uJrH4Gb1JpSMkV,HURRYKNG,vietnamese-hip-hop,62
5vV3bFXnN6D6N3Nj4xRvaV,Jin,k-pop,80
5xY6E5PMZNtz9jDvxTRiGI,Dangrangto,viet-chill-rap,60
5zT1Ku9mzzl6RW5y4z0hUK,Minh Huy,v-pop,53
61ydMyohF67xBZmWSPA3YQ,Chọn gì? Chọn đi!,,38
62D1qvKkvUCvXEtY1xwRfo,Anh Tú Atus,v-pop,58
63P6hjn73jNbnEFT0gKWKk,Ashley Alisha,k-pop,56
63SNH9m8M034lCGELVC1dm,Văn Mai Hương,v-pop,50
66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,pop,92
682nwML92TjNZJwANb63HT,Thien Minh,,49
6CGGvCBHWqQ4HXtn5aLhbh,SOOBIN,v-pop,60
6EybZ5zwPNEtEngfrEMevN,JSOL,v-pop,61
6HaGTQPmzraVmaVxvz6EUc,Jung Kook,k-pop,87
