id,name,genre,popularity,pop,rock,jazz,classical,blues,hip-hop,reggae,electronic,acoustic,other
4APrfmUo8KRrjCVuyoKvwY,Olew,v-pop,50,1,0,0,0,0,0,0,0,0,0
4ClziihVpBeFXNyDH83Lde,UMI,"alternative-r&b,bedroom-soul",62,0,0,0,0,0,0,0,0,1,1
4KPyQxL1zqEiBcTwW6c9HE,Dương Domic,,63,0,0,0,0,0,0,0,0,0,1
4RPhZ2g5GYff0hKNBlZKXh,Ali Hoàng Dương,v-pop,59,1,0,0,0,0,0,0,0,0,0
4Uc8Dsxct0oMqx0P6i60ea,Conan Gray,"bedroom-pop,pop,pov:-indie",80,1,0,0,0,0,0,0,0,0,1
4XpUIb8uuNlIWVKmgKZXC0,ZICO,"k-pop,korean-r&b",67,1,0,0,0,0,0,0,0,0,1
4bPYvyUn1mWwUwIW57oST2,Emcee L (Da LAB),"v-pop,vietnamese-hip-hop",54,1,0,0,0,0,1,0,0,0,0
4cLYlDISnWaErAitB8kRph,Quang Trung,"v-pop,viet-lo-fi",57,1,0,0,0,0,0,0,1,0,0
4dH6uW4FU977FDuTcCHGUf,RIO,viet-chill-rap,50,0,0,0,0,0,1,0,0,0,0
4fCHhderLwLacsIOIKgu3J,Bảo Anh,v-pop,48,1,0,0,0,0,0,0,0,0,0
4fg8aMZ23d2bxKz7r2vt9v,Negav,"v-pop,vietnamese-hip-hop",65,1,0,0,0,0,1,0,0,0,0
4grjJqg7iwQ8RKHs8d9Snh,Andree Right Hand,"vietnamese-hip-hop,vietnamese-trap",55,0,0,0,0,0,1,0,0,0,0
4iHNK0tOyZPYnBU7nGAgpQ,Mariah Carey,"dance-pop,pop,urban-contemporary",80,1,0,0,0,0,1,0,0,0,0
4jIoCS5bJr2TQ2SIbSPnwR,16 BrT,vietnamese-hip-hop,38,0,0,0,0,0,1,0,0,0,0
4mr4X9nJC8DPlNukWbgAaI,HYBS,,68,0,0,0,0,0,0,0,0,0,1
4sGeCkzfqINvHaWFfeoQJp,Thanh Duy,,51,0,0,0,0,0,0,0,0,0,1
4wVcCedmr7FHtUlFnIeJIG,Youjeen,,57,0,0,0,0,0,0,0,0,0,1
4wZ6awunqaaVLl5j0WpDFu,"ANH TRAI ""SAY HI""",,72,0,0,0,0,0,0,0,0,0,1
4zbdqgzf7uo0HYPzHXSWSN,Tezzy,viet-edm,44,0,0,0,0,0,0,0,1,0,0
50bDh0lNWnngFN237F1rJq,Linh Thộn,"v-pop,vietnamese-hip-hop",46,1,0,0,0,0,1,0,0,0,0
53JNigMoziak3PfjdVcNLh,Machiot,v-pop,45,1,0,0,0,0,0,0,0,0,0
540vIaP2JwjQb9dm3aArA4,DJ Snake,"dance-pop,edm,electronic-trap,pop,pop-dance",79,1,0,0,0,0,0,0,1,0,0
54gIDmy6EgICaX1Uiez1iC,DMT,,37,0,0,0,0,0,0,0,0,0,1
56YvnYcOAPPIuSwoZ6uoBP,DT Tập Rap,"v-pop,viet-remix",47,1,0,0,0,0,0,0,1,0,0
57g2v7gJZepcwsuwssIfZs,Vũ.,"indie-viet,rock-viet,v-pop,vietnamese-singer-songwriter",67,1,1,0,0,0,0,0,0,1,1
5CmaKrKVwzQ6iQnJx2cGAm,Vũ Thịnh,v-pop,52,1,0,0,0,0,0,0,0,0,0
5FWPIKz9czXWaiNtw45KQs,Đức Phúc,v-pop,59,1,0,0,0,0,0,0,0,0,0
5H4yInM5zmHqpKIoMNAx4r,Central Cee,"melodic-drill,r&drill",82,0,0,0,0,0,1,0,0,0,0
5HZtdKfC4xU0wvhEyYDWiY,HIEUTHUHAI,"v-pop,vietnamese-hip-hop",70,1,0,0,0,0,1,0,0,0,0
5Kh0ta0UY4uJ4g2CIdq9V9,Phương Ly,v-pop,57,1,0,0,0,0,0,0,0,0,0
5L1lO4eRHmJ7a0Q6csE5cT,LISA,k-pop,84,1,0,0,0,0,0,0,0,0,0
5M3ffmRiOX9Q8Y4jNeR5wu,Wren Evans,"v-pop,vietnamese-hip-hop,vietnamese-melodic-rap",60,1,0,0,0,0,1,0,0,0,0
5Nilp5UbtfomufnBtJkjpL,Duy Khánh 周周,,49,0,0,0,0,0,0,0,0,0,1
5RmQ8k4l3HZ8JoPb4mNsML,Agust D,k-rap,77,0,0,0,0,0,1,0,0,0,0
5U1dINFKjJlYNOSdMrHlRh,16 Typh,"v-pop,vietnamese-hip-hop",42,1,0,0,0,0,1,0,0,0,0
5WUlDfRSoLAfcVSX1WnrxN,Sia,pop,85,1,0,0,0,0,0,0,0,0,0
5Xn0cJrrcslCWCzPXNTy54,PiaLinh,,51,0,0,0,0,0,0,0,0,0,1
5dfZ5uSmzR7VQK0udbAVpf,Sơn Tùng M-TP,"v-pop,vietnamese-idol-pop,vietnamese-melodic-rap",64,1,0,0,0,0,1,0,0,0,0
5fa13NJjmn2uQ3dxZDi2Ge,Bích Phương,v-pop,49,1,0,0,0,0,0,0,0,0,0
5jTFNkoZebPnX90CbB3F2A,MONO,v-pop,54,1,0,0,0,0,0,0,0,0,0
5lAfakPZgxFKgiJD6xAF1G,Orange,v-pop,59,1,0,0,0,0,0,0,0,0,0
5mPbBOU2KMFfStepNZ027p,OgeNus,,51,0,0,0,0,0,0,0,0,0,1
5pyjjs1k7keBTqwhkVs7MA,Trần Đăng Dương,,52,0,0,0,0,0,0,0,0,0,1
5ulyphh5uJrH4Gb1JpSMkV,HURRYKNG,vietnamese-hip-hop,62,0,0,0,0,0,1,0,0,0,0
5vV3bFXnN6D6N3Nj4xRvaV,Jin,k-pop,80,1,0,0,0,0,0,0,0,0,0
5xY6E5PMZNtz9jDvxTRiGI,Dangrangto,viet-chill-rap,60,0,0,0,0,0,1,0,0,0,0
5zT1Ku9mzzl6RW5y4z0hUK,Minh Huy,v-pop,53,1,0,0,0,0,0,0,0,0,0
61ydMyohF67xBZmWSPA3YQ,Chọn gì? Chọn đi!,,38,0,0,0,0,0,0,0,0,0,1
62D1qvKkvUCvXEtY1xwRfo,Anh Tú Atus,v-pop,58,1,0,0,0,0,0,0,0,0,0
63P6hjn73jNbnEFT0gKWKk,Ashley Alisha,,56,0,0,0,0,0,0,0,0,0,1
63SNH9m8M034lCGELVC1dm,Văn Mai Hương,v-pop,50,1,0,0,0,0,0,0,0,0,0
66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,pop,92,1,0,0,0,0,0,0,0,0,0
682nwML92TjNZJwANb63HT,Thien Minh,,49,0,0,0,0,0,0,0,0,0,1
6CGGvCBHWqQ4HXtn5aLhbh,SOOBIN,v-pop,60,1,0,0,0,0,0,0,0,0,0
6EybZ5zwPNEtEngfrEMevN,JSOL,v-pop,61,1,0,0,0,0,0,0,0,0,0
6HaGTQPmzraVmaVxvz6EUc,Jung Kook,k-pop,87,1,0,0,0,0,0,0,0,0,0
6HvZYsbFfjnjFrWF950C9d,NewJeans,"k-pop,k-pop-girl-group",82,1,0,0,0,0,0,0,0,0,0
6LBaSwUNOiuHp1WqbdrZO9,Hùng Huỳnh,,54,0,0,0,0,0,0,0,0,0,1
6NF9Oa4ThQWCj6mogFSrVD,W/N,"indie-viet,v-pop",61,1,0,0,0,0,0,0,0,0,1
6NmGVS8nPcqW6tnevWF3Zg,Trung Tu,,41,0,0,0,0,0,0,0,0,0,1
6TITnFVRcl0AcZ4syE7Toe,Low G,vietnamese-hip-hop,67,0,0,0,0,0,1,0,0,0,0
6V1SwiosQqf5XvmoTMCGa9,Dear Jane,cantopop,57,1,0,0,0,0,0,0,0,0,0
6YVMFz59CuY7ngCxTxjpxE,aespa,k-pop-girl-group,83,1,0,0,0,0,0,0,0,0,0
6Zx90B1VRgR4TB01S87duQ,Anh Phan,vietnamese-hip-hop,41,0,0,0,0,0,1,0,0,0,0
6c7kFoIy4IC56Pr5605Jnt,summerdayy,,32,0,0,0,0,0,0,0,0,0,1
6d0dLenjy5CnR5ZMn2agiV,GREY D,v-pop,61,1,0,0,0,0,0,0,0,0,0
